ID,Card Name,Type Description,Artist Name,Rule Text,Quote
0459,Singing Tree,Summon Singing Tree,Rob Alexander,"|T: Target attacking creature gets -X/-0 until end of turn, where X is that creature's pow
0460,Sorceress Queen,Summon Sorceress,Kaja Foglio,|T: Target creature other than Sorceress Queen becomes 0/2 until end of turn.,
0461,Stone Devils,Summon Devils,Ken Meyer Jr.,First strike,Sometimes those with the most sin cast the first stones.
0462,Unstable Mutation,Enchant Creature,Douglas Shuler,"Target creature gets +3/+3.  During each of its controller's upkeeps, put a -1/-1 counter on the creature.  These counters remain even if Unstable Mutation is removed.",
0463,War Elephant,Summon Elephant,Kristen Bishop,,``When elephants fight it is the grass that suffers.'' ---Kikuyu Proverb
0464,Wyluli Wolf,Summon Wolves,Susan Van Camp,|T: Target creature gets +1/+1 until end of turn.,"""When one wolf calls, others follow. Who wants to fight creatures that eat scorpions?"" --- Maimun al-Wyuli, Diary"
0465,Ydwen Efreet,Summon Efreet,Drew Tucker,"If Ydwen Efreet is declared as an blocker, flip a coin immediately after defense is chosen; target opponent calls heads or tails while coin is in the air.  If the flip ends up in your favor, Efreet attacks normally.  Otherwise, Efreet becomes tapped...",
0466,Amulet of Kroog,Artifact,Margaret Organ-Keen,"|2, |T: Prevent 1 damage to any creature or player.","Among the first allies Urza gained were the people of Kroog. As a sign of friendship, Urza gave the healers of the city potent amulets; afterwards, thousands journeyed to Kroog in hope of healing."
0467,Archaeoligist,Summon Archaeoligist,Amy Weber,"|W|W, |T: Take target artifact from your graveyard and put it into your hand.","Fascinated by the lore of ancient struggles, the Archaeologist searches incessantly for remnants of an earlier more powerful era."
0468,Argivian Blacksmith,Summon Smith,Kerstin Kaman,|T: Prevent up to 2 damage to any artifact creature.,"Through years of study and training, the Blacksmiths of Argive became adept at reassembling the mangle remains of the strange, mechanical creatures abounding in their native land."
0469,Argothian Pixies,Summon Pixies,Amy Weber,"Cannot be blocked by artifact creatures, may not be damaged by artifacts","After the rape of Argoth Forest during the rule of the artificers, the Pixies of Argoth bent their magic to more practical ends."
0470,Argothian Treefolk,Summon Treefolk,Amy Weber,Any damage done to Argothian Treefolk by artifact sources is reduced to 0.,"Haunting cries we hear in our dreams / As the fores dies, a death from machines."
0471,Armageddon Clock,Artifact,Amy Weber,"During your upkeep, put one doom counter on Armageddon Clock.  At the end of your upkeep, Armageddon Clock deals X damage to each player, where X is the number of doom counters on Armageddon Clock.  During any upkeep. ...",
0472,Artifact Blast,Interrupt,Mark Poole,Counter target artifact spell.,"The first line of defense against Urza and Mushra, the Artifact Blast achieved widespread fame until an unlucky mage discovered it was useless on the devices the brothers had already created."
0473,Artifact Ward,Enchant Creature,Douglas Shuler,"Target creature cannot be blocked by artifacts, takes no damage from them, and is immune to artifact effects targeting it",
0474,Ashnod's Alter,Artifact,Anson Maddocks,"Sacrifice one of your creatures: gain |2, playable as an interrupt",
0475,Ashnod's Battlegear,Artifact,Mark Poole,"|2, |T: Target creature you control gets +2/-2 as long as Ashnod's Battle gear remains tapped.  You may choose not to untap Ashnod's Battle Gear during your untap phase.",This invention shows why Ashnod was feared by her troops as well as her foes.
0476,Transmogrant,Artifact,Mark Tedin,"Target non-artifact creature gains +1/+1 and is now considered an artifact creature, discard Replicant when used",Ashnod found few willing to trade their humanity for the power she offered them.
0477,Atog,Summon Atog,Jesper Myrfors,|0: Sacrifice an artifact to give Atog +2/+2 until end of turn.,"The bane of all artificers, the legendary Atogs devoured intricate tools to further their own twisted growth."
0478,Battering Ram,Artifact Creature,Jeff A. Menges,"Banding when attacking  At the end of combat, destroy all walls blocking Battering Ram.","By the time Mishra was defeated, no mage was foolish enough to rely heavily on walls."
0479,Bronze Tablet,Artifact,Tom Wanerstrand,Comes into play tapped...,
0480,Tawnos' Candelabra ,Artifact,Douglas Shuler,"|X, |T: Untap X target lands.","Tawnos learned quickly from Urza that utter simplicity often led to wondrous, yet subtle utility."
0481,Artifact Circle,Enchantment,Pete Venters,"|2: Prevent all damage against you from one artifact source.  If a source deals damage to you more than once in a turn, you may pay  |2 each time to prevent the damage.",
0482,Citanul Druid,Summon Druid,Jeff A. Menges,Put a +1/+1 counter on Citanul Druid when target opponent successfully casts an artifact.,"Driven mad by the fall of Argoth, the Citanul Druids found peace only in battle."
0483,Clay Statue,Artifact Creature,Jesper Myrfors, |2 : Regenerate,"Tawnos won fame as Urza's greatest assistant. After he created these warriors, Urza ended his apprenticeship, promoting him directly to the rank of master."
0484,Clockwork Avian,Artifact Creature,Randy Asplund-Faith,"Flying  When Clockwork Avian comes into play, put four +1/+0 counters on it.  At the end of any combat in which Clockwork Avian is assigned to attack or block, remove a counter.   |X, |T: Put X +1/+0 counters on Clockwork Avian...",
0485,Colossus of Sardia,Artifact Creature,Jesper Myrfors,Trample  Colossus does not untap during your untap phase. |9: Untap Colossus.  Use this ability only during your upkeep.,From the Sardian mountains wakes ancient doom: Warrior born from a rocky womb.
0486,Coral Helm,Artifact,Amy Weber,|3 : Discard a card at random from your hand to give target creature +2/+2 until end of turn.,
0487,Crumble,Instant,Jesper Myrfors,Bury target artifact.  Artifact's controller gains life equal to the artifact's casting cost.,The spirits of Argoth grant new life to those who repent the folly of enslaving their labors to devices.
0488,Cursed Rack,Artifact,Richard Thomas,Target opponent discards down to four cards during his or her discard phase.,Ashnod invented several torture techniques that could make victims even miles away beg for mercy as if the End had come.
0489,Damping Field,Enchantment,Justin Hampton,No player may untap more than one artifact during his or her untap phase.,"Eventually, mages learned to harness the power of natural damping fields and use it for their own ends."
0490,Detonate,Sorcery,Randy Asplund-Faith,"Bury target artifact.  Detonate deals X damage to the artifact's controller, where X is the casting cost of the artifact.",
0491,Drafnas Restoration,Sorcery,Amy Weber,,"Drafna, founder of the College of Lat-Nam, could create a working model from even the smallest remnants of a newly unearthed artifact."
0492,Dragon Engine,Artifact Creature,Anson Maddocks,|2 : +1/+0 until end of turn,Those who believed the city of Kroog would never fall to Mishra's forces severely underestimated the might of his war machines.
0493,Dwarven Smith,Summon Dwarves,Mark Poole,"Sacrifice an artifact , |T: give target creature a +1/+1 counter.  Use this ability only during your upkeep.","""Work with zeal as hammers peal! / Melt, anneal, and pound the steel!"" --- Old Dwarvish forge-chant"
0494,Energy Flux,Enchantment,Kaja Foglio,"During each player's upkeep, destroy all artifacts that player controls.  The player may pay an addition  |2 for each artifact he or she wishes to prevent Energy Flux from destroying.",
0495,Feldon's Cane,Artifact,Mark Tedin,Reshuffle your graveyard into your library and remove cane from game,Feldon found the first of these canes frozen in the Ronom Glacier.
0496,Gaea's Avenger,Summon Avenger,Pete Venters,Gaea's Avenger has power and toughness each equal to 1 plus the number of artifacts target opponent controls.,"After the destruction of Argoth, Gaea was willing to instill a portion of her own powers into some of her more vengeful followers."
0497,Gate to Phyrexia,Enchantment,Sandra Everingham,Sacrifice a creature: destroy target artifact.  Use this ability only during your upkeep.,"""The warm rain of grease on my face immediately made it clear I had entered Phyrexia."" --- Jarsyl, Diary"
0498,Goblin Artisans,Summon Goblins,Julie Baroh,"You may tap goblins if you cast artifact, there is an equal chance that the artifact is destroyed or you draw another card",
0499,Golgothian Sylex,Artifact,Kerstin Kaman,|1: force all Antiquities cards in play to be discarded,"From their earliest educations, the brothers had known that no human contrivance could stand against the true masters of Dominia."
0500,Grapeshot Catapult,Artifact Creature,Dan Frazier,|T: Grapeshot Catapult deals 1 damage to target creature with flying.,"Recent research suggests these creatures were invented by Urza's and Mishra's original master, Tocasia, and that both brothers used them."
0501,Haunting Wind,Enchantment,Jeff A. Menges,"Whenever an artifact's activation cost is paid, or an artifact otherwise becomes tapped, Haunting Wind deals 1 damage to the artifact's controller.",These devices lured so many spirits that sometimes entire battlefields would become haunted at once.
0502,Hurkyl's Recall,Instant,Nene Thomas,All artifacts in play owned by target player are returned to that player's hand.,"This spell, like many attributed to Drafna, was actually the work of his wife and former student, Hurkyl."
0503,Ivory Tower,Artifact,Margaret Organ-Keen,"At the beginning of your upkeep, gain 1 life for each card in your hand in excess of four.","Valuing scholarship above all else, the inhabitants of the Ivory Tower reward those who sacrifice power for knowledge."
0504,Jalum Tome,Artifact,Tom Wanerstrand,|2: draw a card from your library but you must discard one immediately afterward,"This timeworn relic was responsible for many of Urza's victories, though he never fully comprehended its mystic runes."
0505,Martyrs of Korlis,Summon Bodyguard,Margaret Organ-Keen,"As long as Martyrs of Korlis is untapped, any damage done to you by artifacts is redirected to Martyrs of Korlis.  You may prevent this damage first if possible.  No more than one Bodyguard of your choice can take damage for you in this way each turn.",
0506,Mightstone,Artifact,Pete Venters,All attacking creatures get +1/+0.,"While exploring the sacred cave of Koilos with his brother Mishra and their master Tocasia, Urza fell behind in the Hall of Tagsin, where he discovered the remarkable Mightstone."
0507,Millstone,Artifact,Kaja Foglio,"|2, |T: Take the top two cards from target player's library and put them into that player's graveyard.",More than one mage was driven insane by the sound of the Millstone relentlessly grinding away.
0508,Mishra's Factory,Land,Kaja & Phil Foglio,"|T: Add |1 to your mana pool. ; |1: Mishra's Factory becomes an Assembly Worker, a 2/2 artifact creature, until end of turn.  Assembly Worker still counts as a land but cannot be tapped for mana the turn it comes into play...",
0509,War Machine,Artifact Creature,Amy Weber,"Banding  During your upkeep, choose and discard one card from your hand, or Mishra's War Machine deals 3 damage to you.  If Mishra's War Machine deals damage to you in this way, tap it.",
0510,Mishra's Workshop,Land,Kaja Foglio,|T: Add |3 to your mana pool.  This mana may only be used to cast artifacts.,"Though he eventually came to despise Tocasia, Mishra listened well to her lessons on clarity of purpose. Unlike his brother, he focused his mind on a single goal."
0511,Obelisk of Undoing,Artifact,Tom Wanerstrand,"|6: return any of your permanents in play to your hand, enchants on that card are discarded",The Battle of Tomakul taught Urza not to rely on fickle reinforcements.
0512,Onulet,Artifact Creature,Anson Maddocks,"If Onulet is put into the graveyard from play, you gain 2 life.","An early inspiration for Urza, Tocasia's Onulets contained magical essences that could be cannibalized after they stopped functioning."
