Sentinel,Card Name,Game ID,Card Status,,,,Original Set,,Additional Cardsets,,,,Mana Sources,Types of Mana Generated,,,,,,AI Values,Color and Land Values,,,,,,Dependencies,,,Class Value Modifiers,,,,,,,,,,,,,,,,,,,,,Persistant Attributes,,Variable Attributes,,,Creature Abilities,1 has 2 gives 4 anti,,,,
412,Millstone,0507,Yes,,,,Antiquities,U3,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,3,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-
413,Mishra's Factory,0508,No,,,,Antiquities,U1,-,U,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,50,2,2,1,1,-,-,-,-,-,-,-
414,Mishra's War Machine,0509,No,,,,Antiquities,U1,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-25,5,5,-,-,-,-,1,-,-,-,-
415,Mishra's Workshop,0510,No,,,,Antiquities,U1,-,-,-,-,-,-,-,-,-,1,Art,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
416,Obelisk of Undoing,0511,Yes,,,,Antiquities,U1,-,-,R,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,1,2,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
417,Onulet,0512,No,,,,Antiquities,U3,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,-,-,-,1,1,-,-,-,-,-,-,-,0,2,2,-,-,-,-,-,-,-,-,-
418,Orcish Mechanics,0513,No,,,,Antiquities,C4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
419,Ornithopter,0514,Yes,,,,Antiquities,C4,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,0,-,2,-,-,-,1,-,-,-,-,-
420,Phyrexian Gremlins,0515,No,,,,Antiquities,C4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
377,Artifact Possession,0516,No,,,,Antiquities,C4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
421,Power Artifact,0517,No,,,,Antiquities,U3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
422,Powerleech,0518,No,,,,Antiquities,U3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
424,Primal Clay,0519,Yes,,,,Antiquities,U3,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,0,3,3,-,-,-,1,-,-,-,1,-
425,Rakalite,0520,No,,,,Antiquities,U3,-,-,-,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-, ,-,-,-,-
426,Reconstruction,0521,No,,,,Antiquities,C4,C ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,2,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
427,Reverse Polarity,0522,No,,,,Antiquities,C4,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,4,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
428,Rocket Launcher,0523,No,,,,Antiquities,U3,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-
429,Sage of Lat-Nam,0524,No,,,,Antiquities,C4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,0,1,2,-,-,-,-,-,-,-,-,-
430,Shapeshifter,0525,Yes,,,,Antiquities,U1,-,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,0,4,3,-,-,-,-,-,-,-,-,-
431,Shatterstorm,0526,Yes,,,,Antiquities,U1 ,U,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-
432,Staff of Zegon,0527,No,,,,Antiquities,C4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
433,Strip Mine,0528,No,,,,Antiquities,U1,-,U,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
434,Su-Chi,0529,No,,,,Antiquities,U3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,0,4,4,-,-,-,-,-,-,-,-,-
435,Tablet of Epityr,0530,No,,,,Antiquities,C4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
436,Tawnos's Coffin,0531,No,,,,Antiquities,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
437,Tawnos's Wand,0532,No,,,,Antiquities,U3,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
438,Tawnos's Weaponry,0533,Yes,,,,Antiquities,U3,-,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
439,Tetravus,0534,No,,,,Antiquities,U1,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,50,4,4,-,-,-,1,-,-,-,-,-
440,The Rack,0535,No,,,,Antiquities,U3,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-
441,Titania's Song,0536,Yes,,,,Antiquities,U3,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
442,Transmute Artifact,0537,No,,,,Antiquities,U3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
443,Triskelion,0538,No,,,,Antiquities,U1,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,50,4,4,-,-,-,-,-,-,-,-,-
444,Urza's Avenger,0539,Yes,,,,Antiquities,U1,-,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,0,4,4,-,-,-,1,1,1,1,-,-,,,,,,,,,,,,,,,,,,
445,Urza's Chalice,0540,No,,,,Antiquities,C4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,
446,Urza's Mine,0541,Yes,,,,Antiquities,C2,-,-,C,C1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,
447,Urza's Miter,0542,No,,,,Antiquities,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,
448,Urza's Power Plant,0543,Yes,,,,Antiquities,C1,-,-,C,C1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,
449,Urza's Tower,0544,Yes,,,,Antiquities,C1,-,-,C,C1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,
450,Wall of Spears,0545,Yes,,,,Antiquities,U3,-,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,0,2,3,-,-,-,-,-,-,1,1,-,,,,,,,,,,,,,,,,,,
451,Weakstone,0546,No,,,,Antiquities,U3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,
452,Xenic Poltergeist,0547,Yes,,,,Antiquities,U3,-,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,6,1,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,
453,Yawgmoth Demon,0548,No,,,,Antiquities,U1,-,-,-,C1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,0,6,6,-,-,-,1,-,-,1,-,-,,,,,,,,,,,,,,,,,,
423,Priest of Yawgmoth,0549,No,,,,Antiquities,C4,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,0,1,2,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,
454,Yotian Soldiers,0550,Yes,,,,Antiquities,C4,-,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,0,1,4,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,
455,Abomination,0551,Yes,,,,Legends,U1,-,U,-,-,-,-,-,-,-,-,-,-,10001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,6,-,-,-,-,-,-,-, ,-,,,,,,,,,,,,,,,,,,
456,Acid Rain,0552,No,Easy,Flashfires,-,Legends,R,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,00001,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,
457,Active Volcano,0553,No,Moderate,"Red Elemental Blast, Unsummon",-,Legends,C3,-,-,-,C3,-,-,-,-,-,-,-,-,00010,-,-,00010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,
458,Adun Oakenshield,0554,No,Moderate,Raise Dead,Multicolored Cast Costs,Legends,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,2,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,
459,Adventurers' Guildhouse,0555,No,Hard,Zombie Master,Bands with Other,Legends,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,00001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
460,Aerathi Berserker,0556,No,Moderate,,Rampage,Legends,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,4,-,-,-,-,-,-,-,-,-
461,Aisling Leprechaun,0557,No,Easy,Thicket Basilisk,,Legends,C1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,00001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
462,Akron Legionnaire,0558,No,Moderate,Brainwash,Suppress Attack,Legends,R,-,-,R,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,8,4,-,-,-,-,-,-,-,-,-
463,Al-abara's Carpet,0559,No,Easy,COPs (except all damage),-,Legends,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
464,Alabaster Potion,0560,Yes,-,-,-,Legends,C2,-,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
465,Alchor's Tomb,0561,No,Very Easy,Laces,-,Legends,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
466,All Hallows Eve,0562,No,Moderate,"Ressurection, Wanderlust, Drafna's Restoration",-,Legends,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
467,Amrou Kithkin,0563,Yes,-,-,-,Legends,C2,-,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
468,Angelic Voices,0564,No,Moderate,Jihad,-,Legends,R,-,-,-,U1,-,-,-,-,-,-,-,-,-,10000,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
469,Angus Mackenzie,0565,No,Easy,Fog,Multicolored Cast Costs,Legends,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,2,-,-,-,-,-,-,-,-,-
470,Anti-Magic Aura,0566,No,Moderate,"Tetravite, Blue Ward",Expanded Wards,Legends,C1,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
471,Arboria,0567,No,Hard,Island Sanctuary,Enchant World,Legends,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
472,Arcades Sabboth,0568,No,Moderate,"Castle, Holy Armor, Junun Efreet",Subtype Mod,Legends,R,-,-,-,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,7,17,-,1,1,1,-,-,-,-,-
473,Arena of the Ancients,0569,No,Moderate,Magnetic Mountain,-,Legends,R,-,-,-,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
474,Avoid Fate,0570,No,Moderate,"Counterspell, (read closely)",-,Legends,C1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
475,Axelrod Gunnarson,0571,No,Moderate,Sengir Vampire,-,Legends,R,-,-,-,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,5,5,-,-,-,-,-,1,-,-,-
476,Ayesha Tanaka,0572,No,Hard,Rust,Counter Activation,Legends,R,-,-,-,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,2,-,-,-,-,1,-,-,-,-
477,Azure Drake,0573,No,Very Easy,-,-,Legends,U1,-,-,U,U3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,4,-,-,-,1,-,-,-,-,-
478,Backdraft,0574,No,Hard,Reverse Polarity,-,Legends,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
479,Backfire,0575,Yes,-,-,-,Legends,U1,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
480,Barbary Apes,0576,No,Very Easy,-,-,Legends,C1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,2,-,-,-,-,-,-,-,-,-
481,Barktooth Warbeard,0577,No,Very Easy,,,Legends,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,6,5,-,-,-,-,-,-,-,-,-
482,Bartel Runeaxe,0578,No,Very Easy,"Serra Angel, Tetravite",,Legends,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,6,5,-,-,-,-,-,-,-,-,-
483,Beasts of Bogardan,0579,No,Moderate,Jihad,,Legends,U1,-,-,-,U3,-,-,-,-,-,-,-,-,10010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,3,-,-,-,-,-,-,-,-,-
484,Black Mana Battery,0580,Yes,,,,Legends,U1,-,R,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
485,Blazing Effigy,0581,No,Hard,Onulet,,Legends,C2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,3,-,-,-,-,-,-,-,-,-
486,Blight,0582,Yes,,,,Legends,U1,-,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
487,Blood Lust,0583,Yes,,,,Legends,U1,-,U,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,0,-,-,4,-,-,-,-,-,-,-,-
488,Blue Mana Battery,0584,Yes,,,,Legends,U1,-,R,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
489,Boomerang,0585,No,Very Easy,Unsummon,,Legends,C2,-,-,C,C3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
490,Boris Devilboon,0586,No,Easy,The Hive,,Legends,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,5,5,-,-,-,-,-,-,-,-,-
491,Brine Hag,0587,No,Hard,"Sengir Vampire, Sorceress Queen",,Legends,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,2,-,-,-,-,-,-,-,-,-
492,Bronze Horse,0588,No,Moderate,Jihad,,Legends,R,-,-,-,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,4,4,-,-,-,-,-,1,-,-,-
493,Carrion Ants,0589,Yes,,,,Legends,R,-,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,-,1,2,2,1,-,-,-,-,-,-
494,Cat Warriors,0590,No,Very Easy,,,Legends,C2,-,-,C,C3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,2,-,-,-,-,-,-,-,-,-
495,Cathedral of Serra,0591,No,Easy,Adventurer's Guildhouse,,Legends,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
496,Caverns of Despair,0592,No,Hard,"Arboria, Akron Legionnarie",,Legends,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
497,Chain Lightning,0593,No,Hard,Hypnotic Specter,Rework of Trigger on Dealdamage,Legends,C2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
498,Chains of Mephistopholes,0594,No,Hard,Island Sanctuary,,Legends,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
499,Chromium,0595,No,Easy,"Arcaddes Sabboth, Junun Efreet","Rampage, Subtype Mod",Legends,R,-,-,-,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,7,7,-,-,-,1,-,-,-,-,-
500,Cleanse,0596,No,Easy,Wrath of God,,Legends,R,-,-,-,-,-,-,-,-,-,-,-,1,00100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
501,Clergy of the Holy Nimbus,0597,No,Hard,(see notes),Unique,Legends,C2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
502,Cocoon,0598,No,Moderate,,,Legends,U1,-,-,-,U3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,-,-,-,2,-,-,-,-,-
503,Concordant Crossroads,0599,No,,,,Legends,R,-,-,-,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
504,Cosmic Horror,0600,No,,,,Legends,R,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,7,7,-,-,-,-,-,-,1,-,-
505,Craw Giant,0601,No,Hard,,Rampage,Legends,U1,-,-,U,U3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,6,4,-,-,-,-,-,1,-,-,-
506,Crevasse,0602,No,,,,Legends,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
507,Crimson Kobolds,0603,No,,,,Legends,C2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,1,-,-,-,-,-,-,-,-,-
